No,City,Location,Sample category,Sample code,Collection year,Aphid taxa,Wasp taxa,Plant species,Hamiltonella strain,Sequencing method,Sequencing date,Data source
864,London,"Mile End Park, South",Mummy,Rumex_5_52,01/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,N_P4_6,Illumina,2022,This study
865,London,"Mile End Park, South",Mummy,Rumex_5_53,01/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
866,London,"Mile End Park, South",Mummy,Rumex_5_54,01/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
867,London,"Mile End Park, South",Mummy,Rumex_5_55,01/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
868,London,"Mile End Park, South",Mummy,Rumex_5_56,01/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
869,London,"Mile End Park, South",Mummy,Rumex_5_57,04/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
870,London,"Mile End Park, South",Mummy,Rumex_5_58,04/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
871,London,"Mile End Park, South",Mummy,Rumex_5_59,04/06/2022,Aphis fabae,Lysiphlebus fabarum,Rumex sp.,NA,Illumina,2022,This study
872,London,"Mile End Park, South",Mummy,Rumex_5_61,08/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
873,London,"Mile End Park, South",Mummy,Rumex_5_62,08/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
874,London,"Mile End Park, South",Mummy,Rumex_5_63,08/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
875,London,"Mile End Park, South",Mummy,Rumex_5_64,08/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
876,London,"Mile End Park, South",Mummy,Rumex_Plate4_1,08/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
877,London,"Mile End Park, South",Mummy,Rumex_Plate4_2,09/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
878,London,"Mile End Park, South",Mummy,Rumex_Plate4_3,09/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
879,London,"Mile End Park, South",Mummy,Rumex_Plate4_4,09/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
880,London,"Mile End Park, South",Mummy,Rumex_Plate4_5,09/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
881,London,"Mile End Park, South",Mummy,Rumex_Plate4_6,13/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,N_P4_6,Illumina,2022,This study
882,London,"Mile End Park, South",Mummy,Rumex_Plate4_7,13/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,NA,Illumina,2022,This study
883,London,"Mile End Park, South",Mummy,Rumex_Plate4_9,15/06/2022,Aphis fabae,Lysiphlebus testaceipes,Rumex sp.,N_P4_6,Illumina,2022,This study
884,London,Longnor Road,Mummy,Sonchus_3_1,19/05/2022,Uroleucon sonchi,Praon volucre clade1,Sonchus asper,NA,Illumina,2022,This study
885,London,Longnor Road,Mummy,Sonchus_3_10,19/05/2022,Uroleucon sonchi,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
886,London,Longnor Road,Mummy,Sonchus_3_11,19/05/2022,Macrosiphum euphorbiae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
887,London,Longnor Road,Mummy,Sonchus_3_12,19/05/2022,Uroleucon sonchi,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
888,London,Longnor Road,Mummy,Sonchus_3_13,19/05/2022,Uroleucon sonchi,Aphidius matricariae,Sonchus asper,NA,Illumina,2022,This study
889,London,Longnor Road,Mummy,Sonchus_3_14,19/05/2022,Uroleucon sonchi,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
890,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_15,19/05/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
891,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_16,19/05/2022,Uroleucon sonchi,Aphidius matricariae,Sonchus asper,NA,Illumina,2022,This study
892,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_17,19/05/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
893,London,Wennington Park,Mummy,Sonchus_3_19,23/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
894,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_2,19/05/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
895,London,Parkland Walk,Mummy,Sonchus_3_20,25/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,2611,Illumina,2022,This study
896,London,Parkland Walk,Mummy,Sonchus_3_21,25/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
897,London,Parkland Walk,Mummy,Sonchus_3_22,25/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
898,London,Parkland Walk,Mummy,Sonchus_3_25,25/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
899,London,Parkland Walk,Mummy,Sonchus_3_28,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
900,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_3,19/05/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
901,London,Parkland Walk,Mummy,Sonchus_3_30,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
902,London,Parkland Walk,Mummy,Sonchus_3_31,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
903,London,Parkland Walk,Mummy,Sonchus_3_32,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
904,London,Parkland Walk,Mummy,Sonchus_3_33,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
905,London,Parkland Walk,Mummy,Sonchus_3_34,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
906,London,Parkland Walk,Mummy,Sonchus_3_35,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
907,London,Parkland Walk,Mummy,Sonchus_3_36,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
908,London,Parkland Walk,Mummy,Rumex_3_37,26/05/2022,Aphis fabae,Aphidius sonchi,Rumex sp.,NA,Illumina,2022,This study
909,London,Parkland Walk,Mummy,Sonchus_3_38,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
910,London,Parkland Walk,Mummy,Sonchus_3_39,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
911,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_4,19/05/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
912,London,Parkland Walk,Mummy,Sonchus_3_40,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
913,London,Parkland Walk,Mummy,Sonchus_3_42,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
914,London,Parkland Walk,Mummy,Sonchus_3_43,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
915,London,Parkland Walk,Mummy,Sonchus_3_44,26/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,2184,Illumina,2022,This study
916,London,Queen Elizabeth Olympic Park,Mummy,Rumex_3_45,27/05/2022,Aphis fabae,Aphidius matricariae,Rumex sp.,NA,Illumina,2022,This study
917,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_46,27/05/2022,Uroleucon sonchi,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
918,London,Wennington Park,Mummy,Sonchus_3_47,29/05/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,93,Illumina,2022,This study
919,London,"Queen Mary Campus, Mile end",Mummy,Sonchus_3_5,19/05/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
920,London,Parkland Walk,Mummy,Sonchus_3_52,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
921,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_53,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,2184,Illumina,2022,This study
922,London,Parkland Walk,Mummy,Sonchus_3_55,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,2184,Illumina,2022,This study
923,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_56,01/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
924,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_57,01/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
925,London,Parkland Walk,Mummy,Sonchus_3_58,01/06/2022,Macrosiphum euphorbiae,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
926,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_59,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
927,London,Longnor Road,Mummy,Sonchus_3_6,19/05/2022,Macrosiphum euphorbiae,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
928,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_60,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,NA,Illumina,2022,This study
929,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_61,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,990,Illumina,2022,This study
930,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_62,01/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,990,Illumina,2022,This study
931,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_63,01/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
932,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_64,01/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
933,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_65,01/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
934,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_66,01/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
935,London,Longnor Road,Mummy,Sonchus_3_68,04/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,2184,Illumina,2022,This study
936,London,Longnor Road,Mummy,Sonchus_3_69,04/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
937,London,Longnor Road,Mummy,Sonchus_3_7,19/05/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2184,Illumina,2022,This study
938,London,Longnor Road,Mummy,Sonchus_3_71,04/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2611,Illumina,2022,This study
939,London,Longnor Road,Mummy,Sonchus_3_72,04/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2184,Illumina,2022,This study
940,London,Longnor Road,Mummy,Sonchus_3_74,04/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2184,Illumina,2022,This study
941,London,Longnor Road,Mummy,Sonchus_3_75,04/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2184,Illumina,2022,This study
942,London,Longnor Road,Mummy,Sonchus_3_76,04/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,NA,Illumina,2022,This study
943,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_77,06/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
944,London,Queen Elizabeth Olympic Park,Mummy,Sonchus_3_78,08/06/2022,Uroleucon sonchi,Aphidius funebris,Sonchus asper,NA,Illumina,2022,This study
945,London,Parkland Walk,Mummy,Sonchus_3_79,27/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2611,Illumina,2022,This study
946,London,Longnor Road,Mummy,Sonchus_3_8,19/05/2022,Macrosiphum euphorbiae,Praon volucre clade1,Sonchus asper,NA,Illumina,2022,This study
947,London,Parkland Walk,Mummy,Sonchus_3_80,27/06/2022,Hyperomyzus lactucae,Aphidius sonchi,Sonchus asper,2611,Illumina,2022,This study
948,London,Parkland Walk,Mummy,Sonchus_3_81,30/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2184,Illumina,2022,This study
949,London,Longnor Road,Mummy,Sonchus_3_9,19/05/2022,Macrosiphum euphorbiae,Praon volucre clade1,Sonchus asper,NA,Illumina,2022,This study
950,London,Parkland Walk,Mummy,Sonchus_4_1,30/06/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2611,Illumina,2022,This study
951,London,Parkland Walk,Mummy,Sonchus_4_2,04/07/2022,Hyperomyzus lactucae,Praon sp. 37,Sonchus asper,2611,Illumina,2022,This study
952,London,Parkland Walk,Mummy,Sycamore_Plate4_11,19/05/2022,Periphyllus testudinaceus,Trioxys sp. 176,Acer pseudoplatanus,NA,Illumina,2022,This study
